,COGN3_O,COGN3_H,COGN3_L,COGN3_C,VALE3_O,VALE3_H,VALE3_L,VALE3_C,WEGE3_O,WEGE3_H,WEGE3_L,WEGE3_C,COGN3_O,COGN3_H,COGN3_L,COGN3_C
2022-11-17,"2,36","2,38","2,25","2,35","78,9","81,26","78,78","81,08","38,0","39,44","37,22","39,23","2,36","2,38","2,25","2,35"
2022-11-18,"2,4","2,45","2,25","2,26","82,3","82,43","78,74","78,86","39,24","39,96","38,79","38,97","2,4","2,45","2,25","2,26"
2022-11-21,"2,27","2,34","2,22","2,31","77,17","78,24","76,37","77,97","39,08","39,52","38,55","39,17","2,27","2,34","2,22","2,31"
2022-11-22,"2,3","2,35","2,24","2,3","78,0","79,48","77,46","78,19","39,33","39,68","37,98","38,59","2,3","2,35","2,24","2,3"
2022-11-23,"2,28","2,32","2,22","2,3","78,96","79,38","77,99","78,96","38,47","38,95","38,09","38,63","2,28","2,32","2,22","2,3"
2022-11-24,"2,31","2,39","2,3","2,37","79,53","80,38","78,65","79,47","38,89","40,25","38,75","39,44","2,31","2,39","2,3","2,37"
2022-11-25,"2,36","2,37","2,26","2,28","80,0","80,86","78,72","78,93","39,46","39,47","38,29","38,79","2,36","2,37","2,26","2,28"
2022-11-28,"2,27","2,29","2,16","2,19","78,64","80,34","77,58","79,32","38,51","38,51","36,97","37,2","2,27","2,29","2,16","2,19"
2022-11-29,"2,19","2,27","2,16","2,25","80,83","83,59","80,61","82,38","37,12","38,19","36,14","37,41","2,19","2,27","2,16","2,25"
2022-11-30,"2,27","2,28","2,17","2,24","82,93","84,51","82,7","83,62","37,41","38,93","37,23","38,69","2,27","2,28","2,17","2,24"
2022-12-01,"2,23","2,24","2,17","2,2","84,32","84,64","82,67","84,08","38,5","39,04","37,71","38,0","2,23","2,24","2,17","2,2"
2022-12-02,"2,21","2,28","2,18","2,2","84,65","85,6","82,9","84,69","38,07","39,07","37,56","38,35","2,21","2,28","2,18","2,2"
2022-12-05,"2,17","2,2","2,11","2,12","85,76","86,82","84,57","84,6","37,71","37,98","36,94","37,3","2,17","2,2","2,11","2,12"
2022-12-06,"2,13","2,18","2,11","2,18","84,87","86,77","84,77","85,83","37,7","37,79","36,63","37,41","2,13","2,18","2,11","2,18"
2022-12-07,"2,16","2,24","2,15","2,2","83,82","84,32","81,82","82,78","37,41","37,7","36,56","36,96","2,16","2,24","2,15","2,2"
2022-12-08,"2,19","2,19","2,08","2,12","83,42","85,13","83,27","83,79","36,72","37,38","36,41","36,9","2,19","2,19","2,08","2,12"
2022-12-09,"2,15","2,17","2,09","2,1","85,92","87,36","85,4","86,58","36,92","37,31","36,65","36,8","2,15","2,17","2,09","2,1"
2022-12-12,"2,1","2,12","1,97","2,0","86,0","86,15","83,3","83,99","36,65","36,74","35,37","35,78","2,1","2,12","1,97","2,0"
2022-12-13,"2,01","2,05","1,95","1,97","84,4","85,52","83,79","84,31","35,78","36,93","35,17","35,5","2,01","2,05","1,95","1,97"
2022-12-14,"1,97","2,1","1,9","2,07","83,91","85,45","83,66","85,02","35,51","37,16","35,38","36,76","1,97","2,1","1,9","2,07"
2022-12-15,"2,02","2,13","2,02","2,06","85,51","86,27","85,02","85,3","36,21","37,38","36,07","36,78","2,02","2,13","2,02","2,06"
2022-12-16,"2,08","2,1","1,95","1,97","85,13","85,44","82,69","83,84","36,69","37,25","36,47","37,15","2,08","2,1","1,95","1,97"
2022-12-19,"1,99","2,08","1,96","2,05","83,17","83,75","82,43","83,53","37,43","38,17","37,39","37,86","1,99","2,08","1,96","2,05"
2022-12-20,"2,03","2,14","2,01","2,12","83,53","85,37","83,48","83,91","37,85","38,87","37,85","38,17","2,03","2,14","2,01","2,12"
2022-12-21,"2,12","2,16","2,04","2,13","85,03","85,52","83,96","84,39","38,32","38,58","37,69","38,14","2,12","2,16","2,04","2,13"
2022-12-22,"2,13","2,16","2,07","2,12","84,43","84,79","82,87","83,91","38,19","38,83","38,19","38,68","2,13","2,16","2,07","2,12"
2022-12-23,"2,12","2,2","2,1","2,17","83,45","84,66","83,25","84,46","38,89","39,11","37,81","38,24","2,12","2,2","2,1","2,17"
2022-12-26,"2,18","2,19","2,11","2,16","84,56","85,66","84,47","85,24","38,07","38,48","37,65","37,93","2,18","2,19","2,11","2,16"
2022-12-27,"2,17","2,17","2,06","2,06","86,11","87,72","85,59","87,27","38,24","38,26","37,52","37,75","2,17","2,17","2,06","2,06"
2022-12-28,"2,07","2,17","2,06","2,16","87,27","88,27","86,79","87,08","37,96","39,06","37,93","38,44","2,07","2,17","2,06","2,16"
2022-12-29,"2,17","2,2","2,09","2,12","87,09","88,02","86,92","86,97","38,58","38,73","37,99","38,25","2,17","2,2","2,09","2,12"
2023-01-02,"2,09","2,12","2,03","2,05","86,77","87,97","86,63","87,48","38,24","38,24","37,48","37,84","2,09","2,12","2,03","2,05"
2023-01-03,"2,06","2,08","1,94","1,95","87,48","88,15","86,98","87,32","37,85","38,11","36,64","36,9","2,06","2,08","1,94","1,95"
2023-01-04,"1,98","2,03","1,92","2,03","87,38","87,72","86,05","87,48","37,08","37,43","36,41","37,15","1,98","2,03","1,92","2,03"
2023-01-05,"2,04","2,1","2,01","2,05","87,54","89,71","87,09","88,95","37,33","37,64","37,01","37,23","2,04","2,1","2,01","2,05"
2023-01-06,"2,06","2,11","2,02","2,09","89,04","90,75","89,04","90,35","37,24","38,01","37,05","37,77","2,06","2,11","2,02","2,09"
2023-01-09,"2,06","2,17","2,03","2,11","89,56","90,99","89,29","90,45","37,74","38,04","36,97","37,66","2,06","2,17","2,03","2,11"
2023-01-10,"2,09","2,23","2,06","2,21","90,5","91,88","90,35","91,57","37,27","37,65","36,83","37,29","2,09","2,23","2,06","2,21"
2023-01-11,"2,21","2,24","2,13","2,24","91,97","92,45","90,28","91,25","37,24","38,44","36,95","38,34","2,21","2,24","2,13","2,24"
2023-01-12,"2,22","2,3","2,17","2,2","91,47","92,27","90,94","91,72","38,28","38,73","37,93","38,25","2,22","2,3","2,17","2,2"
2023-01-13,"2,18","2,21","2,13","2,14","91,68","92,25","91,35","91,8","37,93","39,09","37,66","38,71","2,18","2,21","2,13","2,14"
2023-01-16,"2,13","2,18","2,07","2,08","90,02","90,4","88,88","90,27","38,83","38,83","37,02","37,43","2,13","2,18","2,07","2,08"
2023-01-17,"2,09","2,15","2,09","2,12","90,52","91,24","89,86","90,15","37,69","38,31","37,48","38,05","2,09","2,15","2,09","2,12"
