,open,high,low,close,tick_volume,real_volume
2022-11-17,"38,0","39,44","37,22","39,23",27598,8238900
2022-11-18,"39,24","39,96","38,79","38,97",20554,6670400
2022-11-21,"39,08","39,52","38,55","39,17",21161,4928900
2022-11-22,"39,33","39,68","37,98","38,59",25952,7992000
2022-11-23,"38,47","38,95","38,09","38,63",18079,5489100
2022-11-24,"38,89","40,25","38,75","39,44",16373,5489500
2022-11-25,"39,46","39,47","38,29","38,79",15700,4690200
2022-11-28,"38,51","38,51","36,97","37,2",20887,7981800
2022-11-29,"37,12","38,19","36,14","37,41",24254,9077200
2022-11-30,"37,41","38,93","37,23","38,69",23951,12458900
2022-12-01,"38,5","39,04","37,71","38,0",27045,6962500
2022-12-02,"38,07","39,07","37,56","38,35",27067,6555700
2022-12-05,"37,71","37,98","36,94","37,3",19845,6914000
2022-12-06,"37,7","37,79","36,63","37,41",18331,5641000
2022-12-07,"37,41","37,7","36,56","36,96",14772,4978700
2022-12-08,"36,72","37,38","36,41","36,9",16237,5710700
2022-12-09,"36,92","37,31","36,65","36,8",14798,4345000
2022-12-12,"36,65","36,74","35,37","35,78",30661,10669500
2022-12-13,"35,78","36,93","35,17","35,5",29729,10196600
2022-12-14,"35,51","37,16","35,38","36,76",40468,14185900
2022-12-15,"36,21","37,38","36,07","36,78",27666,8144300
2022-12-16,"36,69","37,25","36,47","37,15",28124,12114400
2022-12-19,"37,43","38,17","37,39","37,86",25857,6603400
2022-12-20,"37,85","38,87","37,85","38,17",26738,7623900
2022-12-21,"38,32","38,58","37,69","38,14",23615,6900900
2022-12-22,"38,19","38,83","38,19","38,68",17159,5599500
2022-12-23,"38,89","39,11","37,81","38,24",18534,9476400
2022-12-26,"38,07","38,48","37,65","37,93",8268,2339100
2022-12-27,"38,24","38,26","37,52","37,75",13045,4735700
2022-12-28,"37,96","39,06","37,93","38,44",21025,5410500
2022-12-29,"38,58","38,73","37,99","38,25",14137,6444500
2023-01-02,"38,24","38,24","37,48","37,84",13701,3017700
2023-01-03,"37,85","38,11","36,64","36,9",21339,5662900
2023-01-04,"37,08","37,43","36,41","37,15",26925,6169800
